feature,importance
lag_momentum,0.09995354321306796
incidence_lag_1w,0.08514713774364231
incidence_lag_4w,0.0826591879247513
log_pop_density,0.08194497382835964
td_ratio,0.07382769603506173
v_state,0.061222141341903305
advantage,0.057862349365474026
q_no_alert,0.05449843837777951
v_x_deprivation,0.053615419149567634
lag_trend,0.040924723905733026
td_error_4w,0.04020111484433333
td_error_8w,0.03585021889995593
td_error_1w,0.03487653853009542
advantage_x_zone,0.023919726883930768
zone_enc,0.018010760330632085
deprivation_x_quality,0.017642677723039724
zone_x_deprivation,0.01621033073818296
v_x_climate,0.014638980989413509
rainfall_mm,0.0102659157440122
lag_ratio_14,0.01023511265423704
humidity_pct,0.009929664131630251
rain_hum,0.009905765810490108
temp_max_c,0.009772227340353577
climate_risk,0.008440397083410262
heat_humidity,0.0082512461372046
rain_ndvi,0.00791535531816588
ndvi,0.0073100460806115415
cos_w1,0.005611250707280208
sin_w1,0.005023142852821563
sin_w2,0.004771467281708589
cos_w2,0.004468200102187856
policy_score,0.0020390961319035634
lga_type_x_deprivation,0.0015248471033705246
lga_type_enc,0.0014868168482851858
season_enc,4.3488847402911657e-05
flood_risk_flag,0.0
incidence_lag_8w,0.0
incidence_lag_2w,0.0
poverty_headcount_pct,0.0
deprivation_idx,0.0
sanitation_pct,0.0
food_insecurity_pct,0.0
epi_year,0.0
piped_water_pct,0.0
nhia_coverage_pct,0.0
q_confirmed,0.0
completeness_pct,0.0
q_suspected,0.0
q_rumour,0.0
active_alert_flag,0.0
