feature,importance
incidence_lag_2w,0.10870607125934562
incidence_lag_1w,0.08674025191887601
incidence_lag_4w,0.08274377510526147
td_ratio,0.07174145955285564
log_pop_density,0.0703614243390619
incidence_lag_8w,0.057541858950862904
v_state,0.05614035387271815
advantage,0.05438997161728617
v_x_deprivation,0.05032477109466696
q_no_alert,0.046455540565349146
lag_momentum,0.031034760126974245
td_error_4w,0.029968469304712492
lag_trend,0.028872118875529637
td_error_8w,0.02748434202083312
td_error_1w,0.025267003735657885
advantage_x_zone,0.01984802960715363
deprivation_x_quality,0.017173849827924168
zone_x_deprivation,0.015259065853693904
zone_enc,0.014855793571068181
v_x_climate,0.012635140966229209
rain_hum,0.008638268597474191
rainfall_mm,0.008494650861037636
humidity_pct,0.008482713957148743
temp_max_c,0.008194683909888104
lag_ratio_14,0.008108339557116519
climate_risk,0.007648746428435484
heat_humidity,0.007218963931818532
rain_ndvi,0.00694870608086807
ndvi,0.0067711980798756
cos_w1,0.005196318254374625
sin_w1,0.004330696644499061
sin_w2,0.003980698921113764
cos_w2,0.0036820953968722415
policy_score,0.002055929175512053
lga_type_x_deprivation,0.001349197265104278
lga_type_enc,0.0013166767733451422
season_enc,3.806399945576486e-05
flood_risk_flag,0.0
poverty_headcount_pct,0.0
deprivation_idx,0.0
sanitation_pct,0.0
food_insecurity_pct,0.0
epi_year,0.0
piped_water_pct,0.0
nhia_coverage_pct,0.0
q_confirmed,0.0
completeness_pct,0.0
q_suspected,0.0
q_rumour,0.0
active_alert_flag,0.0
